IMEI号,下单时间
861851034204564,2016/6/27
861851034271944,2016/6/27
868736022778518,2016/6/27
867996020638855,2016/6/30
867996020607116,2016/7/1
861851037088782,2016/7/4
356955064232577,2016/7/12
86185103235999,2016/7/13
861851037317942,2016/7/26
861851037780529,2016/7/29
867309029953921,2016-08-13 13:29:02
359583077612127,2016-08-15 13:07:35
359583079455384,2016-08-16 12:57:40
358695077854292,2016-08-19 16:20:16
862731031210732,2016-08-22 17:54:49
358695076417489,2016-08-25 18:56:38
860962038384962,2016-08-27 13:27:02
862829038613096,2016-08-29 16:50:28
862460033375075,2016-08-30 11:30:39
868698024230809,2016-09-09 10:20:46
352071061464025,2016-09-12 14:16:03
861874038223752,2016-09-18 10:02:50
359128076759098,2016-09-22 14:20:33
862731035904892,2016-10-13 16:05:14
862971030793508,2016-12-01 18:51:55
