IME号,保单号,保险起期,保险止期
861353038785516,822022016510903000063,2016/6/7,2017/6/6
 355905073118961,822022016510903000063,2016/6/8,2017/6/7
353252072263817,822022016510903000063,2016/6/8,2017/6/7
867789024699258,822022016510903000063,2016/6/9,2017/6/8
 868736022605208,822022016510903000063,2016/6/13,2017/6/12
355406073298184,822022016510903000063,2016/6/13,2017/6/12
861519034618675,822022016510903000063,2016/6/13,2017/6/12
869765023848748,822022016510903000063,2016/6/13,2017/6/12
354988074152628,822022016510903000063,2016/6/13,2017/6/12
355753072001121,822022016510903000063,2016/6/15,2017/6/14
861728036878860,822022016510903000063,2016/6/21,2017/6/20
868615021415456,822022016510903000063,2016/6/25,2017/6/24
861495030155303,822022016510903000063,2016/6/28,2017/6/27
355776070714395,822022016510903000063,2016/6/28,2017/6/27
868854025544124,822022016510903000063,2016/6/28,2017/6/27
861916039316356,822022016510903000063,2016/6/30,2017/6/29
352098073999375,822022016510903000063,2016/7/1,2017/6/30
86173003532251,822022016510903000063,2016/7/2,2017/7/1
861916032453651,822022016510903000063,2016/7/5,2017/7/4
353343079568470,822022016510903000063,2016/7/5,2017/7/4
352051077290556,822022016510903000063,2016/7/5,2017/7/4
35958307153773401,822022016510903000063,2016/7/8,2017/7/7
861262031191194,822022016510903000063,2016/7/9,2017/7/8
861519039144115,822022016510903000063,2016/7/12,2017/7/11
868615020747255,822022016510903000063,2016/7/12,2017/7/11
359274070313539,822022016510903000063,2016/7/14,2017/7/13
862460039442713,822022016510903000063,2016/7/19,2017/7/18
359247068819113,822022016510903000063,2016/7/19,2017/7/18
862263033886251,822022016510903000063,2016/7/22,2017/7/21
862050032098461,822022016510903000063,2016/7/26,2017/7/25
868405023253885,822022016510903000063,2016/7/26,2017/7/25
862468033152873,822022016510903000063,2016/7/27,2017/7/26
861748031657531,822022016510903000063,2016/7/27,2017/7/26
862084033130957,822022016510903000063,2016/7/28,2017/7/27
861404030251534,822022016510903000063,2016/7/28,2017/7/27
861516038987395,822022016510903000063,2016/7/28,2017/7/27
355780070140197,822022016510903000063,2016/8/2,2017/8/1
861755033883742,822022016510903000063,2016/8/2,2017/8/1
862467036709713,822022016510903000063,2016/8/2,2017/8/1
862187032631030,822022016510903000063,2016/8/2,2017/8/1
862565039847818,822022016510903000063,2016/8/2,2017/8/1
862468036908396,822022016510903000063,2016/8/2,2017/8/1
353252071056865,822022016510903000063,2016/8/3,2017/8/2
862466039066923,822022016510903000063,2016/8/4,2017/8/3
862263036384775,822022016510903000063,2016/8/5,2017/8/4
862379032508553,822022016510903000063,2016/8/7,2017/8/6
862470031375191,822022016510903000063,2016/8/7,2017/8/6
354988074332469,822022016510903000063,2016/8/8,2017/8/7
861757039550291,822022016510903000063,2016/8/9,2017/8/8
862681039341262,822022016510903000063,2016/8/10,2017/8/9
861837030676319,822022016510903000063,2016/8/10,2017/8/9
862591033421996,822022016510903000063,2016/8/10,2017/8/9
862607030145899,822022016510903000063,2016/8/11,2017/8/10
862467030991952,822022016510903000063,2016/8/12,2017/8/11
869610024498723,822022016510903000063,2016/8/12,2017/8/11
862660034950756,822022016510903000063,2016/8/13,2017/8/12
355391071892651,822022016510903000063,2016/8/13,2017/8/12
862636038146955,822022016510903000063,2016/8/14,2017/8/13
354990073045167,822022016510903000063,2016/8/14,2017/8/13
355751071104888,822022016510903000063,2016/8/15,2017/8/14
862505035797815,822022016510903000063,2016/8/15,2017/8/14
862466032431785,822022016510903000063,2016/8/15,2017/8/14
355380070927774,822022016510903000063,2016/8/15,2017/8/14
869949021126170,822022016510903000063,2016/8/15,2017/8/14
862603037571476,822022016510903000063,2016/8/15,2017/8/14
355749071284353,822022016510903000063,2016/8/16,2017/8/15
354989073715126,822022016510903000063,2016/8/16,2017/8/15
862604031899699,822022016510903000063,2016/8/17,2017/8/16
862097038280858,822022016510903000063,2016/8/17,2017/8/16
862719035446477,822022016510903000063,2016/8/17,2017/8/16
358695076781124,822022016510903000063,2016/8/17,2017/8/16
862545035934588,822022016510903000063,2016/8/19,2017/8/18
35195208254360,822022016510903000063,2016/8/20,2017/8/19
862545035527788,822022016510903000063,2016/8/21,2017/8/20
862603039140296,822022016510903000063,2016/8/21,2017/8/20
862606033106650,822022016510903000063,2016/8/21,2017/8/20
861064030727931,822022016510903000063,2016/8/22,2017/8/21
862460033455208,822022016510903000063,2016/8/22,2017/8/21
861918038414158,822022016510903000063,2016/8/23,2017/8/22
861468036932843,822022016510903000063,2016/8/23,2017/8/22
355751072250359,822022016510903000063,2016/8/24,2017/8/23
35270908099958,822022016510903000063,2016/8/24,2017/8/23
862591030186634,822022016510903000063,2016/8/24,2017/8/23
355388072045321,822022016510903000063,2016/8/25,2017/8/24
862732037673238,822022016510903000063,2016/8/26,2017/8/25
862660034591253,822022016510903000063,2016/8/27,2017/8/26
862689035626503,822022016510903000063,2016/8/27,2017/8/26
862467030014714,822022016510903000063,2016/8/27,2017/8/26
352709081682676,822022016510903000063,2016/8/27,2017/8/26
862720032560120,822022016510903000063,2016/8/28,2017/8/27
861064030399863,822022016510903000063,2016/8/28,2017/8/27
868795021451402,822022016510903000063,2016/8/29,2017/8/28
862720036820397,822022016510903000063,2016/8/30,2017/8/29
355712072175616,822022016510903000063,2016/8/30,2017/8/29
862689034049236,822022016510903000063,2016/8/30,2017/8/29
868795022649798,822022016510903000063,2016/8/30,2017/8/29
862526035553693,822022016510903000063,2016/8/31,2017/8/30
862681037822024,822022016510903000063,2016/8/31,2017/8/30
352709081068942,822022016510903000063,2016/8/31,2017/8/30
862719033933674,822022016510903000063,2016/8/31,2017/8/30
862758036704724,822022016510903000063,2016/8/31,2017/8/30
862720034445205,822022016510903000063,2016/9/1,2017/8/31
861064030298040,822022016510903000063,2016/9/5,2017/9/4
862603039468457,822022016510903000063,2016/9/5,2017/9/4
862632030132143,822022016510903000063,2016/9/5,2017/9/4
358695077601297,822022016510903000063,2016/9/5,2017/9/4
353952075564885,822022016510903000063,2016/9/9,2017/9/8
862427037463421,822022016510903000063,2016/9/12,2017/9/11
862393031737279,822022016510903000063,2016/9/12,2017/9/11
359279064489252,822022016510903000063,2016/9/13,2017/9/12
861613035764370,822022016510903000063,2016/9/20,2017/9/19
862911032425493,822022016510903000063,2016/9/21,2017/9/20
862244039661831,822022016510903000063,2016/9/24,2017/9/23
861749039675517,822022016510903000063,2016/9/26,2017/9/25
862681033787502,822022016510903000063,2016/9/26,2017/9/25
869337020364556,822022016510903000063,2016/9/29,2017/9/28
355712070033031,822022016510903000063,2016/9/30,2017/9/29
862758036737328,822022016510903000063,2016/10/1,2017/9/30
862966032315235,822022016510903000063,2016/10/2,2017/10/1
861845036447148,822022016510903000063,2016/10/2,2017/10/1
862911036636194,822022016510903000063,2016/10/2,2017/10/1
860514034692342,822022016510903000063,2016/10/3,2017/10/2
359169071080121,822022016510903000063,2016/10/5,2017/10/4
862949035809214,822022016510903000063,2016/10/5,2017/10/4
359178071841226,822022016510903000063,2016/10/5,2017/10/4
867470021980294,822022016510903000063,2016/10/6,2017/10/5
864938026082657,822022016510903000063,2016/10/10,2017/10/9
862363031705030,822022016510903000063,2016/10/15,2017/10/14
862771035702144,822022016510903000063,2016/10/16,2017/10/15
352709082936808,822022016510903000063,2016/10/17,2017/10/16
862471036760452,822022016510903000063,2016/10/21,2017/10/20
354983075117308,822022016510903000063,2016/10/24,2017/10/23
359177071584315,822022016510903000063,2016/10/26,2017/10/25
863062030385757,822022016510903000063,2016/10/31,2017/10/30
863189037000772,822022016510903000063,2016/11/3,2017/11/2
862526039272738,822022016510903000063,2016/11/3,2017/11/2
863439039552092,822022016510903000063,2016/11/4,2017/11/3
862982038471195,822022016510903000063,2016/11/6,2017/11/5
862982038689572,822022016510903000063,2016/11/7,2017/11/6
863439030253633,822022016510903000063,2016/11/7,2017/11/6
860139030166586,822022016510903000063,2016/11/12,2017/11/11
868615024502466,822022016510903000063,2016/11/14,2017/11/13
862946030507876,822022016510903000063,2016/11/17,2017/11/16
863042032576686,822022016510903000063,2016/11/21,2017/11/20
863709036418178,822022016510903000063,2016/11/28,2017/11/27
353347060414701,822022016510903000063,2016/11/30,2017/11/29
863604031700771,822022016510903000063,2016/12/1,2017/11/30
863903034772237,822022016510903000063,2016/12/4,2017/12/3
